CODE_BARRES	NOM_COMMERCIAL	PRINCIPE_ACTIF	DOSAGE	EQUIVALENTS
6118001250448	OLICLINOMEL N7-1000E	ACIDES AMINES / HUILES DOLIVE ET SOJA RAFFINES	NA / NA	OLICLINOMEL N4-550E [6118001250417] | OLICLINOMEL N4-550E [6118010020278] | OLICLINOMEL N6-900E [6118001250424] | OLICLINOMEL N6-900E [6118010020285] | OLICLINOMEL N7-1000E [6118001250431] | OLICLINOMEL N7-1000E [6118010020292] | OLICLINOMEL N7-1000E [6118010020308]
6118001250455	PEP-RANI	RANITIDINE	50 MG	AZANTAC [6118001140169] | PEP-RANI [6118010020315]
6118001250462	PROTON	OMEPRAZOLE	20 MG	ALZOLE [6118000050407] | ALZOLE 20 MG [6118000051015] | ALZOLE 20 MG [6118000051022] | ALZOLE 20 MG [6118010118333] | AULCER 20 MG [6118001220038] | AULCER 20 MG [6118001220045] | BELMAZOL 20MG [6118000070122] | BELMAZOL 20MG [6118000070139] | BELMAZOL 20MG [6118000071624] | IPP [6118000190547] | IPP [6118000191049] | IXOR [6118000032786] | IXOR [6118000032793] | IXOR [6118000032809] | KALEST [6118000340041] | KALEST [6118000340058] | KALEST [6118000340065] | KALEST [6118010035685] | KALEST [6118010035692] | KALEST [6118010035708] | MOPRAL [6118001020652] | OEDES [6118001100064] | OEDES [6118001100071] | OEDES [6118001100088] | OEDES 20 MG [6118000082026] | OMEGEN [6118000130017] | OMEGEN [6118000130024] | OMEGEN [6118000130031] | OMEPRAL [6118000240570] | OMEPRAL [6118000240587] | OMEPRAL [6118000240594] | OMIZ 20 MG [6118000092414] | OMIZ 20 MG [6118000092421] | OMIZ 20 MG [6118000092438] | OPRA DEVA [6118000410270] | OPRA DEVA [6118000410287] | OPRA DEVA [6118000410294] | OZIL PLUS [6118000331247] | OZIL PLUS [6118000331254] | PRAZOL [6118000040644] | PRAZOL [6118000040996] | PRAZOL [6118000041009] | PROCLOR [6118000070726] | PROCLOR [6118000071457] | PROCLOR [6118010020353] | PROGAST [6118000210061] | PROGAST [6118000210078] | PROGAST [6118000210115] | PROGAST [6118010116841] | PROTON [6118001250479] | PROTON [6118010020360] | PROTON [6118010020377] | ZAURAC [6118000400110] | ZAURAC [6118000400127] | ZAURAC [6118000400134]
6118001250479	PROTON	OMEPRAZOLE	20 MG	ALZOLE [6118000050407] | ALZOLE 20 MG [6118000051015] | ALZOLE 20 MG [6118000051022] | ALZOLE 20 MG [6118010118333] | AULCER 20 MG [6118001220038] | AULCER 20 MG [6118001220045] | BELMAZOL 20MG [6118000070122] | BELMAZOL 20MG [6118000070139] | BELMAZOL 20MG [6118000071624] | IPP [6118000190547] | IPP [6118000191049] | IXOR [6118000032786] | IXOR [6118000032793] | IXOR [6118000032809] | KALEST [6118000340041] | KALEST [6118000340058] | KALEST [6118000340065] | KALEST [6118010035685] | KALEST [6118010035692] | KALEST [6118010035708] | MOPRAL [6118001020652] | OEDES [6118001100064] | OEDES [6118001100071] | OEDES [6118001100088] | OEDES 20 MG [6118000082026] | OMEGEN [6118000130017] | OMEGEN [6118000130024] | OMEGEN [6118000130031] | OMEPRAL [6118000240570] | OMEPRAL [6118000240587] | OMEPRAL [6118000240594] | OMIZ 20 MG [6118000092414] | OMIZ 20 MG [6118000092421] | OMIZ 20 MG [6118000092438] | OPRA DEVA [6118000410270] | OPRA DEVA [6118000410287] | OPRA DEVA [6118000410294] | OZIL PLUS [6118000331247] | OZIL PLUS [6118000331254] | PRAZOL [6118000040644] | PRAZOL [6118000040996] | PRAZOL [6118000041009] | PROCLOR [6118000070726] | PROCLOR [6118000071457] | PROCLOR [6118010020353] | PROGAST [6118000210061] | PROGAST [6118000210078] | PROGAST [6118000210115] | PROGAST [6118010116841] | PROTON [6118001250462] | PROTON [6118010020360] | PROTON [6118010020377] | ZAURAC [6118000400110] | ZAURAC [6118000400127] | ZAURAC [6118000400134]
6118001250509	TRINOMYC	FLUCONAZOLE	2 MG	FLUCONAZOLE GT [6118001270330] | TRIFLUCAN [6118001170333] | TRINOMYC [6118001250516] | TRINOMYC [6118001250523] | TRINOMYC [6118001250653]
6118001250516	TRINOMYC	FLUCONAZOLE	2 MG	FLUCONAZOLE GT [6118001270330] | TRIFLUCAN [6118001170333] | TRINOMYC [6118001250509] | TRINOMYC [6118001250523] | TRINOMYC [6118001250653]
6118001250523	TRINOMYC	FLUCONAZOLE	2 MG	FLUCONAZOLE GT [6118001270330] | TRIFLUCAN [6118001170333] | TRINOMYC [6118001250509] | TRINOMYC [6118001250516] | TRINOMYC [6118001250653]
6118001250530	CHEMOSET 2MG/ML	ONDANSETRON	8 MG	CHEMOSET [6118001250592] | CHEMOSET [6118001250608] | CHEMOSET [6118001250615] | DANTRON [6118001000234] | DANTRON [6118001000241] | ONDANSETRON AGUETTANT 2 MG/ML [6118001230525] | ONDANSETRON GT [6118001270217] | ONDANSETRON GT 8 MG/4ML [6118001271016] | ONDANSETRON MYLAN 8 MG/4ML [6118001021277] | ONSET [6118001010103] | ONSET [6118001010165] | ONSET [6118010034565] | VOGASET [6118000081869] | VOGASET [6118000081876] | ZOFRAN [6118001141494] | ZOFRAN [6118001141517]
6118001250547	CHEMOSET 2MG/ML	ONDANSETRON	4 MG	CHEMOSET [6118001250561] | CHEMOSET [6118001250578] | CHEMOSET [6118001250585] | DANTRON [6118001000210] | DANTRON [6118001000227] | ONDANSETRON AGUETTANT 2 MG/ML [6118001230518] | ONDANSETRON MYLAN 4 MG/2ML [6118001021260] | VOGASET [6118000081845] | VOGASET [6118000081852] | ZOFRAN [6118001141487] | ZOFRAN [6118001141500]
6118001250554	MEGAFLOX IV	CIPROFLOXACINE	400 MG	CIPROFLOXACINE MYLAN 400 MG/200 ML [6118001021154] | CIPROXINE [6118001090143]
