CODE	NOM	DCI1	DOSAGE1	UNITE_DOSAGE1	FORME	PRESENTATION	PPV	PH	PRIX_BR	PRINCEPS_GENERIQUE	TAUX_REMBOURSEMENT
6118000010814	IDEOS	CALCIUM / COLECALCIFEROL (VITAMINE D3)	500 / 400	MG / UI	COMPRIME A SUCER	1 BOITE 30 COMPRIME	 53,40   	 33,30   	 42,20   	P	70%
6118001100354	NORMACOL LAVEMENT AD	PHOSPHATE MONOSODIQUE / PHOSPHATE DISODIQUE	23.66 / 10.4	G / G	SOLUTION RECTALE	1 FLACON 130 ML	 26,50   	 17,50   	 26,50   	P	0%
6118010116278	CRESTOR	ROSUVASTATINE	5	MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME	 210,00   	 130,80   	 210,00   	P	70%
6118001183104	CRESTOR	ROSUVASTATINE	5	MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME	 210,00   	 130,80   	 210,00   	P	70%
6118001050154	INHIBACE	CILAZAPRIL	5	MG	COMPRIME PELLICULE	1 BOITE 28 COMPRIME SECABLE	 179,90   	 112,40   	 179,90   	P	70%
6118000100058	DIAMICRON	GLICLAZIDE	80	MG	COMPRIME SECABLE	1 BOITE 20 COMPRIME	 37,20   	 24,60   	 29,70   	P	70%
6118001030019	TEGRETOL	CARBAMAZEPINE	200	MG	COMPRIME SECABLE	1 BOITE 50 COMPRIME SECABLE	 81,10   	 50,50   	 56,00   	P	70%
6118000081579	ANDOL	PARACETAMOL	500	MG	COMPRIME	1 BOITE 20 COMPRIME	 10,00   	 6,20   	 10,00   	G	70%
6118000011835	ZECLAR	CLARITHROMYCINE	250	MG	COMPRIME PELLICULE	1 BOITE 10 COMPRIME	 171,65   	 113,50   	 90,00   	P	70%
6118000020769	OREX	CEFALEXINE	250	MG	GRANULE POUR SUSPENSION BUVABLE	1 FLACON 60 ML	 37,70   	 23,50   	 37,70   	G	70%
6118001184187	REVLIMID 25 MG	LENALIDOMIDE	25	MG	GELULE	1 BOITE 21 GELULE	 -     	 58 465,00   	 58 465,00   	P	0%
6118000240372	FENAC	DICLOFENAC	50	MG	COMPRIME GASTRO-RESISTANT	1 BOITE 30 COMPRIME GASTRO-RESISTANT	 44,10   	 27,50   	 44,10   	G	70%
6118010026553	LIPISTAT	SIMVASTATINE	40	MG	COMPRIME ENROBE	1 BOITE 28 COMPRIME ENROBE	 232,00   	 145,10   	 232,00   	G	70%
6118001240036	LIPISTAT	SIMVASTATINE	40	MG	COMPRIME ENROBE	1 BOITE 28 COMPRIME ENROBE	 232,00   	 145,10   	 232,00   	G	70%
6118000030683	CALCIBRONAT	BROMOGALACTOGLUCONATE DE CALCIUM	13.3	%	SIROP	1 FLACON 200 ML	 26,40   	 17,50   	 26,40   	P	0%
6118000032076	VITA C 1000	ACIDE ASCORBIQUE (VITAMINE C)	1	G	COMPRIME EFFERVESCENT	1 BOITE 20 COMPRIME EFFERVESCENT	 27,70   	 18,30   	 27,70   	G	0%
6118000010494	DUPHALAC	LACTULOSE	66.5	%	SOLUTION BUVABLE	1 FLACON 200 ML	 49,35   	 32,60   	 49,35   	P	0%
6118001070169	CIALIS	TADALAFIL	20	MG	COMPRIME PELLICULE	1 BOITE 4 COMPRIME PELLICULE	 440,00   	 -     	 440,00   	P	0%
6118000190417	EPHEDRYL	PARACETAMOL / TRIPROLIDINE	2.5 / 25	G / MG	SOLUTION BUVABLE	1 FLACON 100 ML	 17,85   	 11,80   	 17,85   	G	0%
6118001180943	ECLARAN	PEROXYDE DE BENZOYLE	5	%	GEL	1 TUBE 45 G	 31,45   	 20,80   	 31,45   	P	0%
